LGA_NAME,REGION,EXPENDITURE_PER_ADULT,EGM_DENSITY,SEIFA_SCORE,UNEMPLOYMENT_RATE,YEAR
Shire of Strathbogie,Country,95.95,3.56,957.00,3.7%,2021
Rural City of Benalla,Country,290.19,9.09,936.00,4.1%,2021
Shire of Gannawarra,Country,154.38,5.36,934.00,2.7%,2021
Shire of Campaspe,Country,181.59,6.97,943.00,4.4%,2021
Shire of Glenelg,Country,302.80,7.58,925.00,4.7%,2021
Shire of Southern Grampians,Country,302.16,5.90,969.00,3.7%,2021
Shire of Wellington,Country,369.52,8.99,954.00,5.5%,2021
Rural City of Wodonga,Country,127.23,4.15,957.00,4.3%,2021
City of Warrnambool,Country,456.17,8.42,961.00,3.9%,2021
City of Greater Bendigo,Country,317.65,7.02,961.00,4.7%,2021
City of Ballarat,Country,384.57,7.29,965.00,5.9%,2021
Rural City of Swan Hill,Country,344.76,9.90,934.00,2.6%,2021
City of Greater Shepparton,Country,448.48,6.32,937.00,5.8%,2021
Rural City of Mildura,Country,399.44,6.40,921.00,3.5%,2021
Shire of East Gippsland,Country,406.75,8.53,937.00,6.7%,2021
Shire of Bass Coast,Country,337.22,7.03,945.00,6.7%,2021
City of Latrobe,Country,434.90,8.67,916.00,8.0%,2021
Shire of Surf Coast,Country,83.61,3.30,1064.00,2.6%,2021
Shire of South Gippsland,Country,149.11,4.42,965.00,4.0%,2021
Shire of Macedon Ranges,Country,134.54,2.62,1047.00,3.5%,2021
Rural City of Horsham,Country,379.38,9.91,958.00,2.5%,2021
Shire of Baw Baw,Country,226.40,5.56,976.00,4.4%,2021
Rural City of Wangaratta,Country,224.78,6.61,962.00,3.6%,2021
City of Melbourne,Metro,225.63,3.79,1071.00,5.4%,2021
City of Moreland,Metro,220.95,4.08,1026.00,7.4%,2021
City of Darebin,Metro,340.23,5.40,1020.00,7.4%,2021
City of Boroondara,Metro,63.29,1.10,1128.00,4.6%,2021
City of Whitehorse,Metro,196.65,2.95,1063.00,6.2%,2021
City of Manningham,Metro,290.47,4.97,1076.00,6.9%,2021
City of Banyule,Metro,296.21,6.09,1055.00,5.2%,2021
City of Maroondah,Metro,357.47,6.77,1034.00,5.6%,2021
City of Knox,Metro,307.52,5.85,1032.00,5.4%,2021
City of Monash,Metro,369.66,5.67,1060.00,4.0%,2021
City of Port Phillip,Metro,156.09,3.61,1101.00,5.6%,2021
City of Kingston,Metro,332.01,6.79,1042.00,6.0%,2021
City of Greater Dandenong,Metro,531.70,6.77,915.00,8.6%,2021
City of Frankston,Metro,314.15,4.57,981.00,6.2%,2021
City of Casey,Metro,289.94,3.29,991.00,7.1%,2021
Shire of Cardinia,Metro,184.91,3.86,996.00,6.4%,2021
Shire of Yarra Ranges,Metro,127.13,3.57,1017.00,5.7%,2021
City of Hume,Metro,391.33,4.49,947.00,12.1%,2021
City of Brimbank,Metro,552.38,5.68,930.00,10.1%,2021
Shire of Melton,Metro,327.34,4.00,981.00,8.9%,2021
City of Hobsons Bay,Metro,334.73,6.92,1020.00,5.6%,2021
City of Wyndham,Metro,290.21,4.25,1002.00,7.7%,2021
Shire of Mornington Peninsula,Metro,362.05,5.93,1013.00,4.6%,2021
City of Yarra,Metro,188.22,3.16,1081.00,6.3%,2021
City of Maribyrnong,Metro,436.64,5.69,1019.00,7.0%,2021
City of Stonnington,Metro,107.48,2.34,1120.00,4.3%,2021
City of Glen Eira,Metro,315.45,6.21,1092.00,5.2%,2021
City of Bayside,Metro,87.25,2.45,1125.00,4.4%,2021
City of Moonee Valley,Metro,405.44,6.81,1046.00,6.0%,2021
Shire of Buloke,Country,0.00,0.00,949.00,2.4%,2021
Shire of Golden Plains,Country,0.00,0.00,1004.00,3.3%,2021
Shire of Hindmarsh,Country,0.00,0.00,931.00,2.8%,2021
Shire of Indigo,Country,0.00,0.00,995.00,2.5%,2021
Shire of Loddon,Country,0.00,0.00,932.00,5.5%,2021
Shire of Moyne,Country,0.00,0.00,998.00,2.8%,2021
Shire of Pyrenees,Country,0.00,0.00,937.00,6.3%,2021
Shire of West Wimmera,Country,0.00,0.00,977.00,1.9%,2021
Shire of Yarriambiack,Country,0.00,0.00,932.00,2.9%,2021
City of Whittlesea,Metro, 471 ,4,982.00,5.6%,2020
Shire of Nillumbik,Metro, 147 ,2,1093.00,2.2%,2020
Rural City of Ararat,Country, 407 ,9,931.00,4.2%,2020
Shire of Northern Grampians,Country, 329 ,9,921.00,4.3%,2020
Borough of Queenscliffe,Country, 422 ,12,1070.00,2.0%,2020
City of Greater Geelong,Country, 425 ,6,980.00,4.0%,2020
Shire of Corangamite,Country, 168 ,5,959.00,2.6%,2020
Shire of Colac-Otway,Country, 364 ,6,939.00,2.7%,2020
Shire of Hepburn,Country, 171 ,4,979.00,3.1%,2020
Shire of Moorabool,Country, 271 ,4,988.00,5.5%,2020
Shire of Central Goldfields,Country, 539 ,9,870.00,7.2%,2020
Shire of Mount Alexander,Country, 132 ,2,979.00,4.1%,2020
Shire of Mansfield,Country, 158 ,6,986.00,2.2%,2020
Shire of Murrindindi,Country, 94 ,2,973.00,3.6%,2020
Shire of Mitchell,Country, 356 ,6,972.00,4.5%,2020
Shire of Towong,Country, 43 ,2,974.00,3.1%,2020
Shire of Alpine,Country, 162 ,5,970.00,2.4%,2020
Shire of Moira,Country, 140 ,4,930.00,4.9%,2020
Shire of Strathbogie,Country, 120 ,4,957.00,3.1%,2020
Rural City of Benalla,Country, 391 ,9,936.00,4.2%,2020
Shire of Gannawarra,Country, 187 ,5,934.00,3.4%,2020
Shire of Campaspe,Country, 227 ,7,943.00,4.9%,2020
Shire of Glenelg,Country, 358 ,8,925.00,4.4%,2020
Shire of Southern Grampians,Country, 367 ,6,969.00,3.2%,2020
Shire of Wellington,Country, 488 ,9,954.00,4.2%,2020
Rural City of Wodonga,Country, 190 ,4,957.00,4.6%,2020
City of Warrnambool,Country, 547 ,8,961.00,3.5%,2020
City of Greater Bendigo,Country, 406 ,7,961.00,5.2%,2020
City of Ballarat,Country, 509 ,7,965.00,3.9%,2020
Rural City of Swan Hill,Country, 372 ,10,934.00,3.5%,2020
City of Greater Shepparton,Country, 488 ,6,937.00,6.2%,2020
Rural City of Mildura,Country, 518 ,6,921.00,4.4%,2020
Shire of East Gippsland,Country, 516 ,9,937.00,5.1%,2020
Shire of Bass Coast,Country, 439 ,7,945.00,4.4%,2020
City of Latrobe,Country, 580 ,9,916.00,5.9%,2020
Shire of Surf Coast,Country, 114 ,3,1064.00,1.9%,2020
Shire of South Gippsland,Country, 218 ,4,965.00,2.7%,2020
Shire of Macedon Ranges,Country, 178 ,3,1047.00,2.9%,2020
Rural City of Horsham,Country, 470 ,10,958.00,3.3%,2020
Shire of Baw Baw,Country, 302 ,6,976.00,2.9%,2020
Rural City of Wangaratta,Country, 301 ,7,962.00,3.6%,2020
City of Melbourne,Metro, 344 ,4,1071.00,4.0%,2020
City of Moreland,Metro, 293 ,4,1026.00,6.1%,2020
City of Darebin,Metro, 420 ,5,1020.00,5.6%,2020
City of Boroondara,Metro, 95 ,1,1128.00,3.7%,2020
City of Whitehorse,Metro, 260 ,3,1063.00,5.1%,2020
City of Manningham,Metro, 395 ,5,1076.00,5.5%,2020
City of Banyule,Metro, 411 ,6,1055.00,3.6%,2020
City of Maroondah,Metro, 485 ,8,1034.00,4.4%,2020
City of Knox,Metro, 411 ,6,1032.00,3.9%,2020
City of Monash,Metro, 484 ,6,1060.00,3.7%,2020
City of Port Phillip,Metro, 211 ,4,1101.00,4.9%,2020
City of Kingston,Metro, 471 ,7,1042.00,5.6%,2020
City of Greater Dandenong,Metro, 648 ,7,915.00,10.2%,2020
City of Frankston,Metro, 412 ,5,981.00,6.3%,2020
City of Casey,Metro, 366 ,3,991.00,7.7%,2020
Shire of Cardinia,Metro, 249 ,4,996.00,7.0%,2020
Shire of Yarra Ranges,Metro, 171 ,4,1017.00,4.3%,2020
City of Hume,Metro, 482 ,5,947.00,9.8%,2020
City of Brimbank,Metro, 617 ,6,930.00,9.4%,2020
Shire of Melton,Metro, 419 ,4,981.00,8.1%,2020
City of Hobsons Bay,Metro, 451 ,7,1020.00,5.0%,2020
City of Wyndham,Metro, 373 ,4,1002.00,6.5%,2020
Shire of Mornington Peninsula,Metro, 468 ,6,1013.00,4.5%,2020
City of Yarra,Metro, 254 ,3,1081.00,6.1%,2020
City of Maribyrnong,Metro, 535 ,6,1019.00,6.2%,2020
City of Stonnington,Metro, 138 ,2,1120.00,3.3%,2020
City of Glen Eira,Metro, 439 ,6,1092.00,4.2%,2020
City of Bayside,Metro, 122 ,2,1125.00,3.7%,2020
City of Moonee Valley,Metro, 544 ,7,1046.00,5.2%,2020
Shire of Buloke,Country, -   ,0,949.00,3.0%,2020
Shire of Golden Plains,Country, -   ,0,1004.00,2.4%,2020
Shire of Hindmarsh,Country, -   ,0,931.00,3.7%,2020
Shire of Indigo,Country, -   ,0,995.00,2.2%,2020
Shire of Loddon,Country, -   ,0,932.00,6.3%,2020
Shire of Moyne,Country, -   ,0,998.00,2.4%,2020
Shire of Pyrenees,Country, -   ,0,937.00,4.4%,2020
Shire of West Wimmera,Country, -   ,0,977.00,2.7%,2020
Shire of Yarriambiack,Country, -   ,0,932.00,3.8%,2020
City of Whittlesea,Metro, 643 ,4,982.00,5.6%,2019
Shire of Nillumbik,Metro, 198 ,2,1093.00,2.0%,2019
Rural City of Ararat,Country, 529 ,9,931.00,4.0%,2019
Shire of Northern Grampians,Country, 441 ,9,921.00,3.6%,2019
Borough of Queenscliffe,Country, 517 ,12,1070.00,3.9%,2019
City of Greater Geelong,Country, 589 ,6,980.00,6.9%,2019
Shire of Corangamite,Country, 221 ,5,959.00,2.8%,2019
Shire of Colac-Otway,Country, 470 ,6,939.00,3.2%,2019
Shire of Hepburn,Country, 205 ,4,979.00,3.2%,2019
Shire of Moorabool,Country, 365 ,4,988.00,4.9%,2019
Shire of Central Goldfields,Country, 691 ,9,870.00,7.7%,2019
Shire of Mount Alexander,Country, 185 ,2,979.00,3.2%,2019
Shire of Mansfield,Country, 215 ,6,986.00,2.0%,2019
Shire of Murrindindi,Country, 121 ,2,973.00,3.1%,2019
Shire of Mitchell,Country, 550 ,6,972.00,4.2%,2019
Shire of Towong,Country, 44 ,2,974.00,3.2%,2019
Shire of Alpine,Country, 203 ,6,970.00,2.3%,2019
Shire of Moira,Country, 172 ,4,930.00,3.8%,2019
Shire of Strathbogie,Country, 168 ,4,957.00,3.0%,2019
Rural City of Benalla,Country, 483 ,9,936.00,4.5%,2019
Shire of Gannawarra,Country, 231 ,5,934.00,3.3%,2019
Shire of Campaspe,Country, 299 ,7,943.00,3.8%,2019
Shire of Glenelg,Country, 446 ,8,925.00,5.1%,2019
Shire of Southern Grampians,Country, 492 ,6,969.00,3.8%,2019
Shire of Wellington,Country, 620 ,9,954.00,4.8%,2019
Rural City of Wodonga,Country, 239 ,4,957.00,4.4%,2019
City of Warrnambool,Country, 709 ,9,961.00,4.0%,2019
City of Greater Bendigo,Country, 559 ,7,961.00,4.3%,2019
City of Ballarat,Country, 683 ,8,965.00,4.6%,2019
Rural City of Swan Hill,Country, 530 ,10,934.00,3.2%,2019
City of Greater Shepparton,Country, 674 ,6,937.00,4.7%,2019
Rural City of Mildura,Country, 696 ,7,921.00,4.3%,2019
Shire of East Gippsland,Country, 659 ,9,937.00,6.1%,2019
Shire of Bass Coast,Country, 606 ,7,945.00,4.8%,2019
City of Latrobe,Country, 777 ,9,916.00,7.1%,2019
Shire of Surf Coast,Country, 144 ,4,1064.00,2.3%,2019
Shire of South Gippsland,Country, 274 ,4,965.00,3.1%,2019
Shire of Macedon Ranges,Country, 252 ,3,1047.00,2.0%,2019
Rural City of Horsham,Country, 647 ,10,958.00,3.1%,2019
Shire of Baw Baw,Country, 421 ,6,976.00,3.4%,2019
Rural City of Wangaratta,Country, 387 ,7,962.00,3.5%,2019
City of Melbourne,Metro, 514 ,4,1071.00,3.7%,2019
City of Moreland,Metro, 420 ,4,1026.00,5.4%,2019
City of Darebin,Metro, 610 ,6,1020.00,5.4%,2019
City of Boroondara,Metro, 141 ,1,1128.00,2.9%,2019
City of Whitehorse,Metro, 370 ,3,1063.00,4.6%,2019
City of Manningham,Metro, 553 ,5,1076.00,4.4%,2019
City of Banyule,Metro, 562 ,6,1055.00,3.5%,2019
City of Maroondah,Metro, 682 ,8,1034.00,4.1%,2019
City of Knox,Metro, 572 ,6,1032.00,3.8%,2019
City of Monash,Metro, 668 ,6,1060.00,2.5%,2019
City of Port Phillip,Metro, 286 ,4,1101.00,4.3%,2019
City of Kingston,Metro, 656 ,7,1042.00,4.4%,2019
City of Greater Dandenong,Metro, 898 ,7,915.00,7.7%,2019
City of Frankston,Metro, 559 ,5,981.00,5.4%,2019
City of Casey,Metro, 511 ,4,991.00,5.4%,2019
Shire of Cardinia,Metro, 349 ,4,996.00,5.0%,2019
Shire of Yarra Ranges,Metro, 238 ,3,1017.00,4.2%,2019
City of Hume,Metro, 649 ,5,947.00,7.8%,2019
City of Brimbank,Metro, 870 ,6,930.00,8.6%,2019
Shire of Melton,Metro, 574 ,4,981.00,6.7%,2019
City of Hobsons Bay,Metro, 618 ,7,1020.00,4.3%,2019
City of Wyndham,Metro, 548 ,5,1002.00,5.7%,2019
Shire of Mornington Peninsula,Metro, 625 ,6,1013.00,3.8%,2019
City of Yarra,Metro, 345 ,4,1081.00,5.3%,2019
City of Maribyrnong,Metro, 750 ,6,1019.00,5.2%,2019
City of Stonnington,Metro, 196 ,2,1120.00,2.5%,2019
City of Glen Eira,Metro, 609 ,6,1092.00,3.1%,2019
City of Bayside,Metro, 166 ,3,1125.00,2.8%,2019
City of Moonee Valley,Metro, 744 ,7,1046.00,4.5%,2019
Shire of Buloke,Country,,,949.00,3.3%,2019
Shire of Golden Plains,Country,,,1004.00,3.2%,2019
Shire of Hindmarsh,Country,,,931.00,3.3%,2019
Shire of Indigo,Country,,,995.00,2.5%,2019
Shire of Loddon,Country,,,932.00,5.1%,2019
Shire of Moyne,Country,,,998.00,2.5%,2019
Shire of Pyrenees,Country,,,937.00,4.6%,2019
Shire of West Wimmera,Country,,,977.00,2.3%,2019
Shire of Yarriambiack,Country,,,932.00,3.6%,2019
City of Whittlesea,Metro, 655.14 , 4 , 982.00 ,5.75%,2018
Shire of Nillumbik,Metro, 182.14 , 2 ," 1,093.00 ",2.02%,2018
Rural City of Ararat,Country, 546.71 , 9 , 931.00 ,4.23%,2018
Shire of Northern Grampians,Country, 478.49 , 9 , 921.00 ,3.94%,2018
Borough of Queenscliffe,Country, 514.73 , 12 ," 1,070.00 ",3.44%,2018
City of Greater Geelong,Country, 599.39 , 7 , 980.00 ,6.57%,2018
Shire of Corangamite,Country, 202.07 , 5 , 959.00 ,2.56%,2018
Shire of Colac-Otway,Country, 455.70 , 6 , 939.00 ,2.99%,2018
Shire of Hepburn,Country, 214.30 , 4 , 979.00 ,3.14%,2018
Shire of Moorabool,Country, 353.20 , 4 , 988.00 ,6.11%,2018
Shire of Central Goldfields,Country, 718.18 , 9 , 870.00 ,7.38%,2018
Shire of Mount Alexander,Country, 182.28 , 2 , 979.00 ,5.82%,2018
Shire of Mansfield,Country, 232.22 , 6 , 986.00 ,2.07%,2018
Shire of Murrindindi,Country, 130.80 , 2 , 973.00 ,3.23%,2018
Shire of Mitchell,Country, 573.59 , 7 , 972.00 ,4.43%,2018
Shire of Towong,Country, 45.49 , 2 , 974.00 ,2.78%,2018
Shire of Alpine,Country, 219.81 , 6 , 970.00 ,2.46%,2018
Shire of Moira,Country, 175.19 , 4 , 930.00 ,5.14%,2018
Shire of Strathbogie,Country, 140.02 , 4 , 957.00 ,2.90%,2018
Rural City of Benalla,Country, 487.47 , 9 , 936.00 ,4.01%,2018
Shire of Gannawarra,Country, 226.78 , 5 , 934.00 ,3.34%,2018
Shire of Campaspe,Country, 280.76 , 7 , 943.00 ,5.06%,2018
Shire of Glenelg,Country, 439.13 , 8 , 925.00 ,4.14%,2018
Shire of Southern Grampians,Country, 482.41 , 6 , 969.00 ,3.45%,2018
Shire of Wellington,Country, 614.83 , 9 , 954.00 ,6.36%,2018
Rural City of Wodonga,Country, 248.32 , 4 , 957.00 ,4.13%,2018
City of Warrnambool,Country, 705.48 , 9 , 961.00 ,3.75%,2018
City of Greater Bendigo,Country, 555.94 , 7 , 961.00 ,7.49%,2018
City of Ballarat,Country, 674.51 , 8 , 965.00 ,4.63%,2018
Rural City of Swan Hill,Country, 500.71 , 10 , 934.00 ,3.49%,2018
City of Greater Shepparton,Country, 661.05 , 7 , 937.00 ,6.52%,2018
Rural City of Mildura,Country, 657.24 , 7 , 921.00 ,5.18%,2018
Shire of East Gippsland,Country, 649.03 , 9 , 937.00 ,8.12%,2018
Shire of Bass Coast,Country, 628.02 , 8 , 945.00 ,7.00%,2018
City of Latrobe,Country, 763.11 , 9 , 916.00 ,9.51%,2018
Shire of Surf Coast,Country, 129.50 , 3 ," 1,064.00 ",2.39%,2018
Shire of South Gippsland,Country, 273.29 , 5 , 965.00 ,4.28%,2018
Shire of Macedon Ranges,Country, 256.51 , 3 ," 1,047.00 ",2.79%,2018
Rural City of Horsham,Country, 618.96 , 10 , 958.00 ,3.31%,2018
Shire of Baw Baw,Country, 414.53 , 6 , 976.00 ,4.76%,2018
Rural City of Wangaratta,Country, 384.53 , 6 , 962.00 ,3.43%,2018
City of Melbourne,Metro, 527.81 , 4 ," 1,071.00 ",3.89%,2018
City of Moreland,Metro, 436.43 , 4 ," 1,026.00 ",6.24%,2018
City of Darebin,Metro, 625.91 , 6 ," 1,020.00 ",5.86%,2018
City of Boroondara,Metro, 142.18 , 1 ," 1,128.00 ",3.92%,2018
City of Whitehorse,Metro, 380.98 , 3 ," 1,063.00 ",6.03%,2018
City of Manningham,Metro, 575.16 , 5 ," 1,076.00 ",5.83%,2018
City of Banyule,Metro, 571.52 , 6 ," 1,055.00 ",3.43%,2018
City of Maroondah,Metro, 714.86 , 8 ," 1,034.00 ",4.17%,2018
City of Knox,Metro, 589.71 , 6 ," 1,032.00 ",3.79%,2018
City of Monash,Metro, 691.51 , 6 ," 1,060.00 ",3.20%,2018
City of Port Phillip,Metro, 282.59 , 4 ," 1,101.00 ",4.23%,2018
City of Kingston,Metro, 667.54 , 7 ," 1,042.00 ",5.43%,2018
City of Greater Dandenong,Metro, 926.64 , 7 , 915.00 ,10.05%,2018
City of Frankston,Metro, 587.34 , 5 , 981.00 ,6.65%,2018
City of Casey,Metro, 527.88 , 4 , 991.00 ,6.91%,2018
Shire of Cardinia,Metro, 370.63 , 4 , 996.00 ,6.68%,2018
Shire of Yarra Ranges,Metro, 240.48 , 4 ," 1,017.00 ",4.32%,2018
City of Hume,Metro, 658.65 , 5 , 947.00 ,9.13%,2018
City of Brimbank,Metro, 850.66 , 6 , 930.00 ,10.91%,2018
Shire of Melton,Metro, 596.11 , 5 , 981.00 ,8.75%,2018
City of Hobsons Bay,Metro, 632.78 , 7 ," 1,020.00 ",5.86%,2018
City of Wyndham,Metro, 576.39 , 5 ," 1,002.00 ",7.47%,2018
Shire of Mornington Peninsula,Metro, 641.77 , 6 ," 1,013.00 ",4.62%,2018
City of Yarra,Metro, 362.31 , 4 ," 1,081.00 ",5.62%,2018
City of Maribyrnong,Metro, 722.62 , 6 ," 1,019.00 ",7.23%,2018
City of Stonnington,Metro, 210.19 , 3 ," 1,120.00 ",2.84%,2018
City of Glen Eira,Metro, 638.74 , 6 ," 1,092.00 ",3.73%,2018
City of Bayside,Metro, 188.88 , 3 ," 1,125.00 ",3.32%,2018
City of Moonee Valley,Metro, 764.61 , 7 ," 1,046.00 ",4.79%,2018
Shire of Buloke,Country,,, 949.00 ,3.28%,2018
Shire of Golden Plains,Country,,," 1,004.00 ",3.15%,2018
Shire of Hindmarsh,Country,,, 931.00 ,3.58%,2018
Shire of Indigo,Country,,, 995.00 ,2.41%,2018
Shire of Loddon,Country,,, 932.00 ,8.24%,2018
Shire of Moyne,Country,,, 998.00 ,2.33%,2018
Shire of Pyrenees,Country,,, 937.00 ,4.16%,2018
Shire of West Wimmera,Country,,, 977.00 ,2.68%,2018
Shire of Yarriambiack,Country,,, 932.00 ,4.10%,2018
City of Whittlesea,Metro,679.89, 4 , 983.36 ,7.31%,2017
Shire of Nillumbik,Metro,170.70, 2 ," 1,099.03 ",2.60%,2017
Rural City of Ararat,Country,564.94, 10 , 938.42 ,5.48%,2017
Shire of Northern Grampians,Country,458.19, 9 , 925.61 ,5.05%,2017
Borough of Queenscliffe,Country,508.09, 12 ," 1,047.25 ",2.99%,2017
City of Greater Geelong,Country,614.72, 7 , 980.37 ,6.24%,2017
Shire of Corangamite,Country,231.48, 5 , 970.41 ,3.35%,2017
Shire of Colac-Otway,Country,472.86, 7 , 946.48 ,4.16%,2017
Shire of Hepburn,Country,234.89, 4 , 967.11 ,3.39%,2017
Shire of Moorabool,Country,342.79, 4 , 994.71 ,6.16%,2017
Shire of Central Goldfields,Country,713.63, 10 , 887.90 ,7.76%,2017
Shire of Mount Alexander,Country,187.73, 2 , 969.86 ,3.72%,2017
Shire of Mansfield,Country,251.07, 6 , 991.67 ,2.86%,2017
